,question_id,question,rank,id,article,score
22,7,Who is the federal judge that ordered President Trump's golf resort to pay $5.7 million for refusing to refund deposits to members?,2,18170,"plaintiffs had waived this argument during the course of the litigation. The dispute at the Jupiter club centered on contracts signed by club members with the facility's previous owner, . To join, members paid initiation fees as high as $210, 000, depending on the type of membership that they wanted. But under s rules those deposits were refundable when a member resigned. That process, however, could take years and while members on the resignation list waited for their turn to come up they could still use the club so long as they paid annual fees and other costs like food and beverage minimums. That all changed in 2012 when the Trump Organization bought the Jupiter club. Soon afterward, Mr. Trump sent a letter to members saying that those who wanted to resign were no longer welcome there. I do not want them to utilize the club, nor do I want their dues, the letter read. After club members sued, Mr. Trump testified in 2015 during a pretrial deposition that although he had signed the letter, it was his son, Eric Trump, who was in charge of policies at the family's golf courses. Eric is much more familiar with this club, his father said. He runs it. In his pretrial deposition, Eric Trump testified that nothing had changed and that club members seeking to resign had been allowed to use the club so long as they paid their dues. That claim, however, was disputed at trial last year. One member on the resignation list, Richard Slawson, testified that the club's membership manager told him soon after the Trumps took it over that the club was . But he continued to receive $6, 000 bills for annual dues and thousands in minimum charges for food and beverages that were never consumed. I couldn't believe that we were charged that when we were not allowed to use the club, Mr. Slawson, a Florida lawyer, said in a recent telephone interview. Confronted with such testimony, the younger Mr. Trump during his court testimony backed off his assertions and acknowledged he had been mistaken. He made himself our strongest witness, a plaintiff's lawyer, Bradley Edwards, said about Eric Trump. There was no way to reconcile his prior testimony with his testimony at trial.",-0.5335647
23,7,Who is the federal judge that ordered President Trump's golf resort to pay $5.7 million for refusing to refund deposits to members?,3,17940,"? The resort doubles its initiation fee to $200, 000 leading to charges that the Trump Organization is cashing in on its founder's power. By President Trump's definition of voter fraud, his senior adviser, Steve Bannon, his Treasury secretary nominee and one of his daughters could be swept up in the investigation. The Twitter rebellion seems to be spreading as the Defense Department weighs in on Muslim refugees. The initiation fee at Mr. Trump's club in Florida which the president himself has called the Winter White House has doubled to $200, 000, after membership applications surged in the wake of Mr. Trump's election, the head of membership there said. Bernd Lembcke, the managing director at the Palm Beach, Fla. club, said the change in the initiation fee had been planned last fall, before the election, and that $200, 000 had been the fee before 2010, when it was cut in half because of the recession. But Mr. Lembcke, who has been at the club for 21 years, said that it also reflected the upswing in s popularity. We have had a sudden surge in requests, he said, adding that new members must be recommended by someone who is already a member, as is the case at many private clubs. Robert Weissman, president of Public Citizen, a nonprofit group that promotes government ethics, said the move showed that Mr. Trump and his family intended to profit from his status as president. At the minimum, this creates the appearance of cashing in the presidency and selling direct personal access to the president, he said. It is unacceptable. And it demeans the office of the presidency. The new initiation fee went into effect on Jan. 1, although the annual dues remained the same $14, 000 a year, he said. The club has 482 members, with a cap of 500. It enhances it, Mr. Lembcke said of Mr. Trump's new job and its impact on the value of the membership. His presidency does. But we are very careful in vetting them, he added. News about the change in the initiation fee was reported by CNBC. By President Trump's definition, his senior White House adviser, Steve Bannon, is apparently committing voter fraud. So is his nominee to be the next Treasury secretary, Steven Mnuchin. So, apparently, is one of his daughters, Tiffany Trump. Mr. Trump was pretty broad with his definition of voter fraud when he took to Twitter Wednesday morning to request an investigation of the nefarious conduct of the 2016 electorate with no evidence to support it. There is, in fact, a difference between investigating actual voter fraud and cleaning up the voter rolls. If you move states, you aren't usually required to tell the state you are leaving that you no longer want to be on the roster. And so it goes that Mr. Bannon is registered in Sarasota County, Fla. and New York City. Mr. Mnuchin appears on the rolls of New York and California. And Tiffany Trump, should she choose,",-1.6204829
24,8,What business relationship between Donald Trump and Elon Musk surprised many people?,1,17980,"The election of Donald Trump and the accompanying rehabilitation of fossil fuels should have been, by all rights, devastating for Tesla Motors. Tesla is the top maker of autos, and it completed its merger with SolarCity, a leading manufacturer of solar energy panels, days after the presidential election. Elon Musk, the visionary founder of both companies, openly criticized Mr. Trump's candidacy, saying on CNBC just before the vote that he was not the right guy? for the job. Mr. Musk has pressed for a carbon tax to combat global warming, which Mr. Trump once dismissed as a Chinese hoax. The mere mention of a carbon tax inflames the old guard of the energy industry. Moreover, both Tesla and SolarCity benefit from federal subsidies. Robert E. Murray, a coal executive and Trump supporter, has called Mr. Musk a fraud? for accepting $2 billion in government handouts. So why have Tesla shares surged since Mr. Trump's election, closing this week within striking distance of a record high? Adam Jonas, a prominent automotive analyst at Morgan Stanley, upgraded Tesla stock to overweight last week, with a target price of $305 a share. (It was trading this week at about $255.) When you look at the businesses Tesla is in, you see many areas of overlapping interest? with the Trump administration, Mr. Jonas told me. To the extent the new administration prioritizes the creation of valuable, innovative high tech and manufacturing jobs, Tesla stands at the epicenter of that. Shares in pure solar energy companies haven't fared as well, but even they have now regained nearly all the ground they lost immediately after Mr. Trump's victory. Solar investors aren't nearly as negative as they were the day after the election, said Andrew Hughes, an alternative energy analyst for Credit Suisse. One reason for that shift seems to be a budding bromance between Mr. Trump and Mr. Musk. The invited Mr. Musk to Trump Tower in December as part of a group of technology executives and named him to his strategic and policy forum of business leaders. And Mr. Musk was with a group of manufacturing executives at a White House meeting this week at which, according to a participant, he broached the subject of a carbon tax. Surprisingly, Mr. Trump didn't reject it out of hand. For his part, Mr. Musk this week endorsed Rex W. Tillerson, a pillar of the fossil fuel establishment as chief executive of Exxon Mobil, for secretary of state. Mr. Jonas said that the strategic relationship between Tesla leadership and the new administration is an important development? in his decision to upgrade Tesla stock. That Trump would be relying on Musk as an adviser has come as quite a surprise to many people, Mr. Jonas said. A major fear of investors in solar power was that a Trump administration would end the federal subsidies so reviled by fossil fuel proponents. While that remains a concern, the most recent jobs data suggests that the subsidies have led to a surge",2.8274322
25,8,What business relationship between Donald Trump and Elon Musk surprised many people?,2,18068,"to address the country's challenges. Mr. Musk was born in South Africa. Aaron Levie, chief executive of the data storage company Box, wrote on Twitter that on every level moral, humanitarian, economic, logical, etc. this ban is wrong and is completely antithetical to the principles of America. Over all, Mr. Levie said in an interview, there was a pretty resounding response from the tech industry showing how unacceptable this is. Beyond family heritage and employment, he noted, Silicon Valley cares about immigration because its companies strive to operate everywhere in the world. Almost every company's products Google, Apple, Airbnb has a global customer base, Mr. Levie said. These policy decisions have real implications to our partners, our customers, our competitors. The Trump administration is little more than a week old, but its relationship with Silicon Valley is already complicated. The tech industry did not like Mr. Trump the presidential candidate, despite his embrace of Twitter, and he returned the sentiment with caustic posts on the platform. Stephen K. Bannon, his chief strategist, said in 2015 that or of the C. E. O.s in Silicon Valley are from South Asia or from Asia, an incorrect statement that many in Silicon Valley perceived as racist. Yet a December meeting between the incoming administration and numerous tech chieftains was decidedly upbeat. We're going to be there for you, Mr. Trump promised to a room that included the leaders of Apple, Microsoft and Amazon. By early last week, the companies sensed trouble. Murtadha 24, an software engineer at Facebook, was told by a company lawyer on Tuesday that he needed to cut short a visit to Canada and return to the United States. The company feared that he would not be readmitted to the country because the president was expected to sign an executive order that would keep him out. It may be my na'vet? about how politics and industries interact, but I don't interpret the tech community's opposition to the president as a political stance, Mr. Tameemi said. It seemed more like a matter of values and a matter that impacts them. The larger tech companies tended to be less forceful in their reactions to the executive order than the smaller ones. Google said it was concerned. Apple said, It is not a policy we support. Amazon said only that it was committed to diversity. Oracle did not respond to requests for comment. On the other hand, Microsoft became more forceful as the weekend went on. On Saturday, its executives talked mostly about the virtues of immigration. On Sunday night, the company issued a statement calling the executive order misguided and a fundamental step backwards? and said it would create collateral damage to the country's reputation and values. Microsoft was not the only company to become bolder in a few hours. Around 10 a. m. on Saturday, Mr. Chesky of Airbnb posted a vague message on Twitter saying open doors bring all of US together. By 6 p. m. he was advocating open",0.7578347
26,8,What business relationship between Donald Trump and Elon Musk surprised many people?,3,18391,"WASHINGTON President Trump lashed out on Wednesday at the Nordstrom department store chain for dropping his daughter Ivanka's accessories and clothing line, once again raising ethical questions about the relationship between his presidency and his family's sprawling business interests. Mr. Trump has already broken with tradition by singling out companies for criticism, like Boeing, Lockheed Martin, automakers and news organizations, sometimes causing gyrations in their stock prices and prompting debates about whether corporations would tailor their conduct to suit a bellicose president. But in those cases, his ire targeted government contracts, departing American jobs or news coverage not his own family's personal fortunes. Six days after Nordstrom announced that, based on sales, it would no longer carry Ms. Trump's products a decision that prompted some Trump supporters to call for a boycott of the stores the president took to Twitter to complain that Ivanka has been treated so unfairly? by the company. He first posted the message from his personal account, and then it from his official White House account. Mr. Trump's complaint also raised questions about how he might handle the moves of numerous other companies as their relationships with Trump brands change. The large national discount retailers T. J. Maxx and Marshalls, and Neiman Marcus, the luxury department store, for example, have recently taken steps to give less prominence to Ms. Trump's products. Sean Spicer, Mr. Trump's press secretary, said the president's tweet was not about business but about an attack on his daughter. For people to take out their concern about his actions, or his executive orders, on members of his family, he has every right to stand up for his family, Mr. Spicer said. It was not clear if Mr. Spicer was referring to critics of Mr. Trump who have called for a boycott of businesses bearing the family name, or to some political motive by Nordstrom. After the president temporarily barred people from seven countries from entering the United States, Nordstrom sent its employees a statement saying that it valued immigrants and offered support to those affected by the executive order. On Wednesday, responding to Mr. Spicer's comments, Nordstrom maintained that it had pulled Ms. Trump's products based on their declining sales performance. The company said it informed Ms. Trump of its decision in early January. Over the past year, and particularly in the last half of 2016, sales of the brand have steadily declined to the point where it didn't make good business sense for us to continue with the line for now, the Nordstrom statement said. We've had a great relationship with the Ivanka Trump team. As Mr. Trump has noted several times, the president is exempt from conflict of interest provisions in federal law that prohibit other government officials from using their positions to benefit themselves or their family members financially. So even if his post was meant to intimidate Nordstrom or other retailers that still work with Ivanka Trump, it probably does not violate conflict of interest rules, said ethics experts,",-0.62028384
27,9,Who vowed to take executive action on a nearly daily basis to unravel his predecessor's legacy and begin enacting his own agenda?,1,17838,"WASHINGTON President Trump plans to take executive action on a nearly daily basis for a month to unravel his predecessor's legacy and begin enacting his own agenda, his aides say, part of an extended exercise of presidential power to quickly make good on his campaign promises. But in a reflection of the improvisational style that helped fuel his rise, he has made few, if any, firm decisions about which orders he wants to make, or in which order. That is a striking break from past presidents, who have entered office with detailed plans for rolling out a series of executive actions that set a tone for their presidencies and send a clear message about their agendas. It was plain that Mr. Trump had devised no such strategy by his first day in office, as advisers expressed doubt until the last moments about whether he would issue any directives on Friday. It's going to be a decision, Sean Spicer, the White House press secretary, told reporters that afternoon. Then, around 7 p. m. reporters were suddenly summoned to the Oval Office. After sprinting from the briefing room, they watched Mr. Trump sign a directive to federal agencies to begin scaling back parts of the Affordable Care Act. There are a number that are being looked at, but it's just a question of which ones he feels like doing, and when, Mr. Spicer had said of executive orders earlier on Friday. In recent days, he had said that Mr. Trump's top aides were still deciding on the sequencing? of the unilateral actions. Still, there is little doubt about the policy areas in Mr. Trump's sights: international trade deals, illegal immigration, the fight against the Islamic State, climate change and Washington lobbying. In his first in office, Mr. Trump focused on health care, ordering the machinery of government to look for every opportunity to pull back on President Barack Obama's signature achievement by waiving fees or granting exemptions to states, businesses, individuals and insurance companies. He also moved quickly to freeze the Obama administration's unfinished regulations, a routine step for an incoming president of the opposite party. During the campaign, Mr. Trump railed against Mr. Obama's use of executive authority to sidestep an uncooperative Congress on issues like immigration and health care. After his victory, Mr. Trump vowed to use those same powers to quickly reverse the country's ideological course. Aides said they hoped to group Mr. Trump's executive actions thematically for maximum impact. They gave few other details, though some advisers suggested that executive actions on illegal immigration could be among the first issued after the inaugural weekend. Advocates for undocumented workers are anxiously waiting to see what Mr. Trump will do. If he moves aggressively, he could immediately overturn Deferred Action for Childhood Arrivals, or DACA the program Mr. Obama created to protect young immigrants who were brought illegally to the United States as children, giving them legal status and access to work permits. Ending that program would put as many",8.828723
28,9,Who vowed to take executive action on a nearly daily basis to unravel his predecessor's legacy and begin enacting his own agenda?,2,17977,"WASHINGTON When President Obama relied heavily on executive orders to push through policies that had no chance in Congress, Republicans called him a dictator who abused his power and disregarded the Constitution. They even took him to court. We have an increasingly lawless presidency where he is actually doing the job of Congress, writing new policies and laws without going through Congress, Representative Paul D. Ryan, then the Budget Committee chairman, said in a 2014 television interview after Mr. Obama made clear in his State of the Union address that he would readily take unilateral action to get his way. Now President Trump, at the start of his tenure, is relying heavily on executive actions not just to reverse Obama administration initiatives, but to enact new federal policies covering immigration, health care and other areas in ways that could be seen more as the province of the House and Senate. And he is doing that with clear Republican majorities in Congress. The flurry of administration edicts flowing from the Trump White House puts some top Republicans in the awkward position of welcoming aggressive executive muscle flexing from a president of their own party after castigating Mr. Obama for using the same approach. Their rationale: Mr. Obama took executive action too far, stretching the intent of legislation to fulfill an ideological agenda. We've never been against executive action, said Ashlee Strong, a spokeswoman for Mr. Ryan, now the House speaker. We're against overreaching, illegal action. Mr. Trump's eager embrace of the executive order he signaled clearly during his campaign that he intended to follow his predecessor's lead allows him to claim immediate progress on his campaign promises rather than waiting for a lengthy legislative process to play out. Many of his major proposals building a border wall, hiring more border and immigration officers, creating a new office for victims of crimes committed by immigrants in the country illegally will presumably require funding by Congress, and that is no certainty in the current political environment. The question then becomes how Mr. Trump would proceed if Congress balks. House Republicans are currently suing the executive branch and winning in a case that argues the Obama administration spent more than $13 billion on health insurance subsidies without necessary congressional approval in a clear breach of the Constitution. The health care executive order issued by Mr. Trump last week directed federal officials to find ways to minimize the financial burden of the health care law on governments, health care providers and others. Many saw the move as a backdoor attempt by the new White House to undermine the current law of the land while Republicans try to figure out a way to repeal it. It was the reverse of the type of action Republicans criticized President Obama for using his executive powers to prop up the health care law without sufficient authority. But there were no loud complaints from Republicans this time, a fact not lost on Democrats. Congressional Republicans? hypocritical acquiescence to President Trump's",0.74575365
29,9,Who vowed to take executive action on a nearly daily basis to unravel his predecessor's legacy and begin enacting his own agenda?,3,17838,"the President's Room just off the Senate floor only moments after being sworn in and signed an order freezing federal hiring, echoing the declaration in his inaugural address that government is not the solution to our problem government is the problem. Mr. Obama also decided well in advance which executive actions he wanted to take in his first days, after a team of lawyers led by Gregory B. Craig, his first White House counsel, spent much of his transition planning what he could do without Congress to illustrate a stark break with George W. Bush's presidency. On his second full day in office, Mr. Obama ordered the closing of the Guantnamo Bay prison a directive still unfulfilled and banned torture by mandating that terrorism interrogations be guided by the Army Field Manual. Mr. Obama's embrace of executive orders early in the administration and later, when a Congress blocked his legislative agenda may have helped pave the way for Mr. Trump to take quick action. Since many of Mr. Obama's achievements were put in place with executive action, Mr. Trump can reverse them, at least over time, the same way.",-2.1382177
30,10,What was Hubert Edward Spires's discharge status changed to by the Air Force Board for the Correction of Military Records?,1,17544,"For more than half a century, Hubert Edward Spires has lived with the painful memory of being kicked out of the Air Force as a young gay sergeant in the 1940s. The word undesirable? was printed on his discharge records. But now, at 91, Mr. Spires said he can finally be at peace with that part of his life. On Friday, he was awakened by a phone call to his Connecticut home and learned that the Air Force Board for the Correction of Military Records had agreed to change his status. This time, his discharge would be described as honorable. It was a long haul, Mr. Spires said on Tuesday in phone call from his home in Norwalk. I got the confirmation that I had been looking for. Said his husband, David Rosenberg, whom he met in 1956 and married eight years ago: His first words were, It's about time.? Mr. Spires is one of the hundreds of gay former military personnel who have been emboldened by the 2010 repeal of the United States military's Don't Ask, Don't Tell policy, which prohibited gay men and lesbians from serving openly in the military. In 2011, the federal government allowed changes to veterans? military records, some of which had been labeled undesirable? or other than honorable. The incentives for doing so were sometimes financial. Such designations could make it difficult for the men and women who had served to get employment, loans or access to veterans benefits. But there was another, more important reason. The respect factor, said Matt Thorn, an executive director at Legal Defense Network, which helps veterans with the application process needed to reverse such designations. I served my country honorably I want that respect. And they should have that. Mr. Thorn said many go through an application process that can take up to 18 months. But for Mr. Spires, who recently recovered from pneumonia, it took years of effort that will now allow him to have a burial, when the time comes, with military honors. I have to quietly go back into my shell now, he said. Because I am 91 years old, and my health is not all it should be. I can't take on jobs that require energy because I don't have it anymore, but I had it long enough to fight the G. D. Air Force and win, he said. Brooke Brzozowske, a spokeswoman for the Air Force, said the service branch had denied 27 out of 157 requests for upgrades since the policy was repealed. We were not necessarily discharging people for just being gay, she said. It was associated with misconduct if it was a dishonorable discharge. The military corrections board first received Mr. Spires's application to get his status upgraded in 2014, but some of his discharge records had been destroyed in a fire in 1973 that also consumed those of other veterans of World War II, the Korean War and the Vietnam War, according to a copy of the records board",6.5608892
31,10,What was Hubert Edward Spires's discharge status changed to by the Air Force Board for the Correction of Military Records?,2,17544,"Mr. Spires's application to get his status upgraded in 2014, but some of his discharge records had been destroyed in a fire in 1973 that also consumed those of other veterans of World War II, the Korean War and the Vietnam War, according to a copy of the records board statement about his case. Other documents found in 2016 showed he served in the military from 1946 to 1948, when he was discharged from Lackland Air Force Base in San Antonio. To help his case, Mr. Spires also filed a lawsuit in Federal District Court for the District of Connecticut in November, assisted by the Yale Law School's Veterans Legal Services Clinic. The lawsuit asserted that Mr. Spires's rights had been violated after he encountered unreasonable delays in the Air Force review to change his discharge status to honorable. According to the lawsuit and to Mr. Spires account, his life as a young chaplain's assistant at the base included playing the organ at services and typing letters to distressed families. He attended social events with gay men outside of the base, he said. At a Halloween party in 1947, Mr. Spires dressed in a costume inspired by a sparkly laundry soap. Someone at the party informed his superiors that he was in drag, the lawsuit said. He was interrogated by military officials, threatened with a and sent to hearings and psychiatrists, the suit says. He signed a statement saying he had engaged in homosexual acts? to end an interrogation, the lawsuit said. I never did anything on the base in uniform, he said. I had a whole slew of very good friends who were gay and lived off base. We partied together we had wonderful meals together and went to the opera together. We lived a very normal life. I did not dishonor the Air Force in any way by my actions, Mr. Spires said in the interview. He was discharged and sent home to Lancaster, Ohio, in civilian clothes. Over the years, he destroyed his military records for fear his Catholic family would find out, he said. He found work in department stores and other jobs. He met Mr. Rosenberg in 1956 at a s'ance in New York. They have been companions ever since, marrying in 2009, Mr. Spires said. The court did not rule on Mr. Spires's lawsuit, as the Air Force board resumed its review of Mr. Spires's application. It finally said in its letter last week that he had no misconduct in the military and concluded there was the existence of an injustice. Its recommendation: an honorable discharge dating to March 17, 1948. I had a terrible time, Mr. Spires said. But now I have been able to put so much of that behind me, and now that I have got my honorable discharge, I hope these negative thoughts will leave me permanently. He added, It has allowed me to not have to look over my shoulder all the time.",4.6993785
32,10,What was Hubert Edward Spires's discharge status changed to by the Air Force Board for the Correction of Military Records?,3,18079,"he developed a different form of bladder cancer. His private health insurance covered the treatment, but left him deep in debt. He applied repeatedly for free veterans? health care for radiation but was denied. His medical records from the military all said he had not been exposed. When the job was done, they threw my bulldozer in the ocean because it was so hot, Mr. Laird said. If it got that much radiation, how the hell did it miss me? As the cleanup continued, federal officials tried to institute safety measures. A shipment of yellow radiation suits arrived on the islands in 1978, but in interviews veterans said that they were too hot to wear in the tropical sun and that the military told them that it was safe to go without them. The military tried to monitor plutonium inhalation using air samplers. But they soon broke. According to an Energy Department memo, in 1978, only a third of the samplers were working. All troops were issued a small film badge to measure radiation exposure, but government memos note that humid conditions destroyed the film. Failure rates often reached 100 percent. Every evening, Air Force technicians scanned workers for plutonium particles before they left Runit. Men said dozens of workers each day had screened positive for dangerous levels of radiation. Sometimes we'd get readings that were all the way to the red, said one technician, David Roach, 57, who now lives in Rockland, Me. None of the high readings were recorded, said Mr. Roach, who has since had several strokes. Two members of Congress wrote to the secretary of defense in 1978 with concerns, but his office told them not to worry: Suits and respirators ensured the cleanup was conducted in a manner as to assure that radiation exposure to individuals is limited to the lowest levels practicable. Even after the cleanup, many of the islands were still too radioactive to inhabit. In 1988, Congress passed a law providing automatic medical care to any troops involved in the original atomic testing. But the act covers veterans only up to 1958, when atomic testing stopped, excluding the Enewetak cleanup crews. If civilian contractors had done the cleanup and later discovered declassified documents that show the government failed to follow its own safety plan, they could sue for negligence. Veterans don't have that right. A 1950 Supreme Court ruling bars troops and their families from suing for injuries arising from military service. The veterans? only avenue for help is to apply individually to the Department of Veterans Affairs for free medical care and disability payments. But the department bases decisions on old military records including defective air sampling and radiation badge data that show no one was harmed. It nearly always denies coverage. A lot of guys can't survive anymore, financially, said Jeff Dean, 60, who piloted boats loaded with contaminated soil. Mr. Dean developed cancer at 43, then again two years later. He had to give up his job as a",-8.287764
33,11,What advice was given to Mr. LaCasse regarding restructuring his student loans to aid his retirement savings?,1,17434,"to squirrel away more. THE ADVICE Stephanie Sherman, a certified financial planner at Prudential, said that Mr. LaCasse might be able to restructure his student loans to give himself more breathing room. If he has a great credit score, he can refinance them and make the same payment and pay them off quicker, or free up more money for savings, she said. Mr. LaCasse said he had already considered refinancing and was thinking about it more seriously after hearing Ms. Sherman's advice. The process seems so daunting, and it keeps getting pushed aside, he said. Now I feel more motivated to do it. If she is able to break into theater or film, Ms. Craven would like to keep working for a lifetime. As an actor, I'm going to want to tell stories and do that as long as I can, she said. Even so, she hopes by her late 60s or early 70s to prioritize family time and traveling. Though she has never had a job with retirement benefits, she would be comfortable putting aside 5 to 10 percent of her $45, 000 income on her own. She already has $7, 500 in savings, but not in a formal retirement account. Her main concern is seasonal fluctuations in her salary that could derail a savings plan. I'm in a very busy season for work right now, so I'm making more money, but once the tourists go away, it'll be back to scraping by, Ms. Craven said. THE ADVICE Ms. Craven said she felt she wasn't doing enough to save for retirement, but the experts saw things differently. Mollie sounds like she has it all together, Ms. Sherman said, noting how much she already has in savings. She didn't deny that seasonal income fluctuations were a challenge, but said that there were many ways to plan around them. She suggested that Ms. Craven find a financial adviser to develop a personalized strategy and perhaps open an independent retirement account. Ms. Sherman also explained that many people in the entertainment field built retirement benefit credits through organizations that they worked for, but that these benefits were not always well advertised to contractors. Ms. Craven said that she was fairly certain she had not accrued retirement credits through her performances, but was interested in finding an adviser and considering a formal retirement account. It does seem disheartening that the savings account that I have just sits there and doesn't grow hardly at all, maybe a cent every month or so, she said. I'd love to put some of that away and not touch it. Although he has worked at his current company, Redwood Logistics, for more than three years, Mr. Ruger has been hesitant to invest in its 401( k). It's such a millennial thing, but I don't want to have to commit to a job, he said. His career goal is to wind up on Broadway. And while he does some singing gigs on the side, the older he gets, the",7.61388
34,11,What advice was given to Mr. LaCasse regarding restructuring his student loans to aid his retirement savings?,2,17434,"her account. Though she has no other formal savings, Ms. King owns a house and contributes 10 percent of her $ salary to the account, with the university contributing an additional 14 percent. Ms. King is paying off student loans but expects to be by the end of the winter, at which point she will be able to diversify her savings plan and increase her contributions by as much as 25 or 50 percent. THE ADVICE Cherita certainly seems on paying off her student loans, Ms. Sherman said. She also seems very focused on redirecting that to increasing her retirement savings. Ms. Sherman and Ms. Vacura agreed that Ms. King was in a good position for retirement, though they recommended that she open a separate rainy day? savings account. Ms. King said the rainy day fund was her next priority after paying off her student loans. And she was happy her efforts had won good reviews. It's validating to hear that people who know about finance are saying I'm on the right track, she said. Ms. Hamilton has been planning for her retirement since she was 17. I took a class in high school, and they showed me the building of compounding interest, she said. That prompted her to get a weekend job and put her earnings into an I. R. A. which has grown to about $30, 000. She also has a separate 401( k) through her employer, with a similar amount invested. I want to work really hard now and save really hard so I can travel the world and not have to worry about finances? in retirement, Ms. Hamilton said. Her husband is a strong partner in her savings plan. When they married last year, they agreed to live on a single income and put the rest into savings: They already have more than $100, 000. Ms. Hamilton is very reluctant to touch her primary income for anything beyond basic necessities. When the time came to buy new furniture, she got a weekend job at Restoration Hardware to cover the expense. THE ADVICE Ms. Sherman of Prudential said that while Ms. Hamilton would seem to be a model of thrift, she could be even more proactive, perhaps by buying life insurance or opening a retirement savings plan. Really start to address the things that could derail your retirement, as you're a fabulous saver, she suggested. Ms. Hamilton said that her personal financial adviser gave similar feedback and that she was encouraged to be receiving such consistent advice about reaching her goals. I may not make a million dollars a year, but I feel like I can one day hopefully have a retirement that's comparable, she said.",-0.22423734
35,11,What advice was given to Mr. LaCasse regarding restructuring his student loans to aid his retirement savings?,3,18174,"possible advice (rather than, say, advice that pays those advisers the highest fees). It's a very simple principle, Mr. Obama said at the time. You want to give financial advice, you've got to put your client's interests first. For most financial advisers, becoming a fiduciary was no big deal, because they had been giving good advice anyway. For instance, the investment firm Merrill Lynch said it would voluntarily hold its retirement advisers to the new standard. We view the Department of Labor Fiduciary Rule as a positive step for the industry and great news for investors, reads a company web page. Other investment firms, however, were less enthusiastic about the new rules and began furious attacks. Their objections ranged from the ridiculous (suggesting that tens of thousands of financial advisers would retire en masse to protest the new rule) to the legitimate (profits of some advisers are likely to fall, and the fees paid by some investors may rise under the new rule what's more, there will most likely be some lawsuits against a small number of advisers as everyone tries to figure out how the new rules work). When Donald J. Trump was elected president, the new fiduciary rules weren't complete, and now some of his advisers are urging him to freeze or overturn them. The fiduciary rule might be the dumbest decision to come out of the U. S. government in the last 50 to 60 years, Anthony Scaramucci, an investment manager and newly appointed White House official, said at a conference, vowing to repeal it as soon as we can. Republicans in Congress have introduced legislation to kill the rules. In truth, this battle is part of a broader clash within the federal government that is likely to shape Mr. Trump's presidency. At the core of those who oppose the new fiduciary rules is a basic belief: People ought to bear more responsibility for monitoring their finances and lives. The fiduciary standard, its critics claim, does a disservice to the nation by placing the burden of financial accountability on advisers, rather than on us, the people who should be paying attention to what occurs with our bank accounts. We should be expected to scrutinize the advice we receive, these critics say, rather than accept it unthinkingly. A fiduciary protection enfeebles us by guaranteeing we'll receive only good advice. That argument might seem preposterous what's the point of seeking advice if you can't trust the advice giver? until you consider situations like Johnny Depp's. (See, I promised we'd get back to him.) Mr. Depp's situation is so complicated that, in most ways, the federal fiduciary rules don't apply. And his lawsuit will be unaffected by whatever President Trump proposes, because it has been filed in state court. Nonetheless, his suit is illuminating, because it demonstrates that instead of glibly dismissing the rules? critics, we ought to acknowledge the challenges they voice. Consider, for instance, the claims made by Mr. Depp's lawyers that the Management Group never once paid",-2.8953168
36,12,What word did The New York Times ultimately choose to describe President Trump's assertion about illegal voting in the headline?,1,17972,"Words matter. And from the moment he became president, Donald J. Trump has unleashed so many of consequence that the public has barely had time to parse their full implication. Words about the dishonest media, the end of Obamacare, the construction of that border wall with Mexico this is an abbreviated list, and he hasn't even completed his first week in office. Amid the verbal deluge, President Trump this week repeated an assertion he made shortly after his election: that millions of ballots cast illegally by undocumented immigrants cost him the popular vote. If true, this would suggest the wholesale corruption of American democracy. Not to worry: As far as anyone knows, the president's assertion is akin to saying that millions of unicorns also voted illegally. But such a baseless statement by a president challenged the news media to find the precise words to describe it. This will be a recurring challenge, given President Trump's habit of speaking in hyperbole and his tendency to deride any report as fake news. The words needed to be exactly right. And the language has a rich vocabulary for describing statements that fall short of the truth, said Geoffrey Nunberg, a linguist who teaches at the University of California, Berkeley, School of Information. They're baseless, they're bogus, they're lies, they're untruths. ? Rarely are these words, each with its own nuance, applied directly to something said by a president, though others have also dissembled (like Bill Clinton on whether he had sex with an intern). This is the very unique situation that we find ourselves in as journalists and as a country, said Joshua Benton, the director of the Nieman Journalism Lab at Harvard University. We have an administration that seems to be asserting a right to its own facts and doesn't seem to be able to produce evidence to back those claims. Still, carefully chosen words can capture that. A whole vocabulary has come bubbling up that would not have been used five years ago, Mr. Nunberg said in an interview. People are going to have to sit down and decide: Are we going to want to go over the moral consequences of telling an untruth? The mere fact of it being untrue? Or the fact that it's bogus, baseless or groundless? Some news organizations used words like falsely? or wrongly? adverbs that tend to weaken the impact in framing what the president said. Some used with no evidence, or won't provide any proof, or unverified claims, or repeats debunked claim. The New York Times, though, ultimately chose more muscular terminology, opting to use the word lie? in the headline. After initially using the word falsely, it switched to lie? online and then settled on Meeting With Top Lawmakers, Trump Repeats an Election Lie? for Tuesday's print edition. People noticed, and debated its use. That is because, from the childhood schoolyard to the grave, this is a word neither used nor taken lightly. It stands apart from most other terms in the linguistic",2.7443419
